,time,close,high,low,open,volume,baseVolume,datetime
39,1592640000,9287.24,9314.32,9283.0,9302.88,1817.6,16896925.09,2020-06-20 08:00:00
40,1592643600,9289.83,9305.25,9275.0,9287.24,1405.41,13055492.46,2020-06-20 09:00:00
41,1592647200,9291.85,9298.84,9279.89,9289.83,835.76,7765906.68,2020-06-20 10:00:00
42,1592650800,9325.87,9380.0,9170.95,9291.85,5114.67,47440804.81,2020-06-20 11:00:00
43,1592654400,9305.0,9335.07,9300.0,9325.87,1047.36,9756825.76,2020-06-20 12:00:00
44,1592658000,9288.55,9315.98,9281.43,9305.0,890.22,8273945.69,2020-06-20 13:00:00
45,1592661600,9284.12,9299.86,9273.91,9288.55,990.66,9201822.55,2020-06-20 14:00:00
46,1592665200,9259.78,9287.08,9232.33,9284.12,1804.65,16714967.33,2020-06-20 15:00:00
47,1592668800,9266.64,9284.72,9241.0,9259.78,1085.6,10064925.0,2020-06-20 16:00:00
48,1592672400,9272.39,9287.24,9265.08,9266.64,1096.72,10170544.57,2020-06-20 17:00:00
49,1592676000,9312.51,9314.0,9272.0,9272.39,1117.89,10381942.79,2020-06-20 18:00:00
50,1592679600,9286.54,9319.45,9285.28,9312.51,1145.51,10654124.41,2020-06-20 19:00:00
51,1592683200,9318.78,9329.75,9286.46,9286.54,1059.63,9868371.01,2020-06-20 20:00:00
52,1592686800,9333.78,9350.0,9317.25,9318.78,1070.44,9993538.58,2020-06-20 21:00:00
53,1592690400,9375.0,9395.0,9333.03,9333.78,1774.46,16628836.76,2020-06-20 22:00:00
54,1592694000,9358.95,9380.0,9341.43,9375.0,748.14,7001319.25,2020-06-20 23:00:00
55,1592697600,9358.31,9380.79,9344.13,9358.95,950.31,8896965.46,2020-06-21 00:00:00
56,1592701200,9374.69,9378.9,9355.8,9358.31,891.77,8354508.96,2020-06-21 01:00:00
57,1592704800,9370.0,9400.0,9361.57,9374.69,1494.94,14029683.94,2020-06-21 02:00:00
58,1592708400,9371.78,9378.67,9360.37,9370.0,558.97,5236387.65,2020-06-21 03:00:00
59,1592712000,9370.92,9380.0,9367.72,9371.78,632.13,5925722.38,2020-06-21 04:00:00
60,1592715600,9388.02,9395.61,9370.6,9370.92,829.11,7779004.24,2020-06-21 05:00:00
61,1592719200,9370.87,9422.0,9369.23,9388.02,1601.63,15043138.38,2020-06-21 06:00:00
62,1592722800,9368.98,9382.99,9356.05,9370.87,1223.42,11465571.55,2020-06-21 07:00:00
63,1592726400,9362.81,9375.0,9357.35,9368.98,750.92,7033315.6,2020-06-21 08:00:00
64,1592730000,9363.44,9385.26,9362.0,9362.81,817.61,7663295.81,2020-06-21 09:00:00
65,1592733600,9357.91,9365.39,9331.0,9363.44,1366.46,12777539.8,2020-06-21 10:00:00
66,1592737200,9358.5,9363.63,9339.53,9357.91,769.69,7197734.78,2020-06-21 11:00:00
67,1592740800,9347.06,9363.51,9341.92,9358.5,726.5,6793414.43,2020-06-21 12:00:00
68,1592744400,9349.0,9354.38,9321.71,9347.06,1105.99,10331795.42,2020-06-21 13:00:00
69,1592748000,9352.0,9359.5,9335.94,9349.0,873.07,8161284.29,2020-06-21 14:00:00
70,1592751600,9373.33,9393.0,9347.21,9352.0,1279.02,11981007.47,2020-06-21 15:00:00
71,1592755200,9366.36,9379.58,9342.15,9373.33,1066.49,9984727.19,2020-06-21 16:00:00
72,1592758800,9347.0,9367.47,9343.32,9366.36,862.53,8067443.49,2020-06-21 17:00:00
73,1592762400,9315.22,9350.04,9307.0,9347.0,1598.36,14906658.34,2020-06-21 18:00:00
74,1592766000,9351.13,9356.32,9302.0,9315.22,1028.47,9601725.88,2020-06-21 19:00:00
75,1592769600,9324.08,9354.29,9306.14,9351.13,1050.9,9808151.7,2020-06-21 20:00:00
76,1592773200,9333.69,9341.85,9321.07,9324.08,573.32,5349827.48,2020-06-21 21:00:00
77,1592776800,9313.14,9333.7,9285.73,9333.69,1449.7,13495444.74,2020-06-21 22:00:00
78,1592780400,9294.69,9316.8,9281.54,9313.14,815.6,7583591.66,2020-06-21 23:00:00
79,1592784000,9322.95,9336.05,9277.09,9294.69,1049.1,9768670.87,2020-06-22 00:00:00
80,1592787600,9389.63,9394.41,9322.07,9322.95,1925.5,18015142.64,2020-06-22 01:00:00
81,1592791200,9386.63,9399.99,9365.02,9389.63,1331.56,12491728.3,2020-06-22 02:00:00
82,1592794800,9385.69,9393.74,9370.58,9386.63,1136.52,10661956.68,2020-06-22 03:00:00
83,1592798400,9411.08,9425.66,9376.14,9385.69,2359.36,22181173.27,2020-06-22 04:00:00
84,1592802000,9414.71,9450.0,9407.03,9411.08,2653.21,25025217.48,2020-06-22 05:00:00
85,1592805600,9416.02,9433.92,9402.54,9414.71,1410.8,13286918.39,2020-06-22 06:00:00
86,1592809200,9419.0,9442.0,9406.01,9416.02,1493.87,14081006.55,2020-06-22 07:00:00
87,1592812800,9432.2,9434.06,9399.8,9419.0,1825.91,17194787.22,2020-06-22 08:00:00
88,1592816400,9417.48,9435.99,9410.62,9432.2,1345.44,12676974.33,2020-06-22 09:00:00
89,1592820000,9434.87,9438.67,9412.24,9417.48,1569.29,14796189.3,2020-06-22 10:00:00
90,1592823600,9459.4,9473.03,9421.07,9434.87,2588.48,24452457.31,2020-06-22 11:00:00
91,1592827200,9493.5,9500.0,9442.51,9459.4,3732.12,35354776.43,2020-06-22 12:00:00
92,1592830800,9468.45,9509.73,9451.64,9493.5,2476.02,23466426.75,2020-06-22 13:00:00
93,1592834400,9460.01,9480.0,9454.77,9468.45,1993.67,18875680.86,2020-06-22 14:00:00
94,1592838000,9492.26,9497.0,9459.03,9460.01,2080.1,19712584.43,2020-06-22 15:00:00
95,1592841600,9586.17,9629.34,9474.13,9492.26,7127.11,68125424.62,2020-06-22 16:00:00
96,1592845200,9587.21,9613.09,9551.0,9586.17,3321.6,31815953.69,2020-06-22 17:00:00
97,1592848800,9581.62,9595.54,9570.76,9587.21,1557.0,14919585.83,2020-06-22 18:00:00
98,1592852400,9563.47,9592.82,9541.05,9581.62,1840.91,17609958.8,2020-06-22 19:00:00
99,1592856000,9639.14,9667.11,9563.47,9563.47,3295.35,31693498.47,2020-06-22 20:00:00
100,1592859600,9689.21,9780.0,9639.14,9639.14,6121.45,59393233.04,2020-06-22 21:00:00
101,1592863200,9678.85,9689.47,9631.44,9689.21,2333.1,22542145.98,2020-06-22 22:00:00
102,1592866800,9685.69,9697.47,9660.84,9678.85,1328.03,12854307.83,2020-06-22 23:00:00
103,1592870400,9660.23,9720.0,9658.97,9685.69,2036.7,19740286.11,2020-06-23 00:00:00
104,1592874000,9646.59,9673.0,9604.04,9660.23,3735.79,36000854.84,2020-06-23 01:00:00
105,1592877600,9641.66,9657.13,9624.01,9646.59,1609.66,15522830.09,2020-06-23 02:00:00
106,1592881200,9658.22,9662.49,9623.5,9641.66,1176.7,11347497.91,2020-06-23 03:00:00
107,1592884800,9626.93,9658.22,9625.92,9658.22,1285.43,12389620.41,2020-06-23 04:00:00
108,1592888400,9625.68,9642.63,9621.29,9626.93,897.71,8646261.95,2020-06-23 05:00:00
109,1592892000,9635.14,9637.87,9620.07,9625.68,956.92,9214351.55,2020-06-23 06:00:00
110,1592895600,9663.63,9667.86,9621.88,9635.14,1534.31,14796710.58,2020-06-23 07:00:00
111,1592899200,9610.02,9664.96,9577.03,9663.63,3476.39,33428966.53,2020-06-23 08:00:00
112,1592902800,9603.91,9621.73,9577.43,9610.02,1928.59,18512881.72,2020-06-23 09:00:00
113,1592906400,9587.74,9609.6,9579.0,9603.91,1473.94,14143607.35,2020-06-23 10:00:00
114,1592910000,9633.16,9645.0,9586.11,9587.74,1755.93,16892496.82,2020-06-23 11:00:00
115,1592913600,9631.07,9650.0,9614.0,9633.16,1784.43,17191205.9,2020-06-23 12:00:00
116,1592917200,9636.79,9646.23,9613.56,9631.07,1725.1,16615438.06,2020-06-23 13:00:00
117,1592920800,9644.65,9668.0,9623.03,9636.79,2211.27,21336564.59,2020-06-23 14:00:00
118,1592924400,9691.99,9692.42,9633.14,9644.65,2406.56,23266388.3,2020-06-23 15:00:00
119,1592928000,9661.95,9695.0,9650.7,9691.99,1949.21,18844323.2,2020-06-23 16:00:00
120,1592931600,9664.18,9670.04,9638.89,9661.95,1692.3,16337106.05,2020-06-23 17:00:00
121,1592935200,9652.8,9680.0,9639.57,9664.18,1494.24,14435408.66,2020-06-23 18:00:00
122,1592938800,9640.48,9668.99,9640.0,9652.8,1203.4,11618992.41,2020-06-23 19:00:00
123,1592942400,9626.43,9660.98,9625.6,9640.48,928.26,8953447.35,2020-06-23 20:00:00
124,1592946000,9640.44,9645.0,9590.0,9626.43,1336.8,12862898.14,2020-06-23 21:00:00
125,1592949600,9610.79,9652.46,9595.0,9640.44,1469.4,14143159.36,2020-06-23 22:00:00
126,1592953200,9624.89,9626.57,9595.91,9610.79,961.99,9246318.59,2020-06-23 23:00:00
127,1592956800,9626.7,9645.1,9613.99,9624.89,876.84,8443607.71,2020-06-24 00:00:00
128,1592960400,9646.72,9652.91,9612.88,9626.7,830.97,8003846.53,2020-06-24 01:00:00
129,1592964000,9661.74,9665.0,9638.17,9646.72,1066.15,10288650.71,2020-06-24 02:00:00
130,1592967600,9651.16,9665.0,9641.01,9661.74,981.81,9474930.07,2020-06-24 03:00:00
131,1592971200,9654.33,9670.0,9640.99,9651.16,1232.67,11901715.85,2020-06-24 04:00:00
132,1592974800,9648.21,9662.59,9633.54,9654.33,1674.96,16156957.14,2020-06-24 05:00:00
133,1592978400,9656.15,9670.0,9642.42,9648.21,1347.29,13011659.4,2020-06-24 06:00:00
134,1592982000,9512.82,9662.99,9500.0,9656.15,5415.12,51834130.36,2020-06-24 07:00:00
135,1592985600,9518.78,9550.0,9480.99,9512.82,3521.98,33539676.04,2020-06-24 08:00:00
136,1592989200,9524.62,9533.49,9490.0,9518.78,2134.77,20304874.09,2020-06-24 09:00:00
137,1592992800,9378.02,9527.16,9313.0,9524.62,5959.91,56111090.03,2020-06-24 10:00:00
138,1592996400,9331.32,9415.71,9323.29,9378.02,4072.84,38157914.17,2020-06-24 11:00:00
139,1593000000,9392.71,9400.14,9280.0,9331.32,3688.6,34496493.99,2020-06-24 12:00:00
140,1593003600,9350.31,9430.0,9343.04,9392.71,2839.66,26688614.05,2020-06-24 13:00:00
141,1593007200,9295.2,9367.8,9291.66,9350.31,3687.09,34406145.47,2020-06-24 14:00:00
142,1593010800,9249.93,9342.1,9208.0,9295.2,7462.16,69224113.06,2020-06-24 15:00:00
143,1593014400,9303.52,9318.97,9238.96,9249.93,3500.93,32510761.46,2020-06-24 16:00:00
144,1593018000,9306.53,9324.01,9280.0,9303.52,1754.6,16321461.17,2020-06-24 17:00:00
145,1593021600,9309.34,9334.51,9291.13,9306.53,1573.93,14664177.79,2020-06-24 18:00:00
146,1593025200,9299.0,9343.02,9291.13,9309.34,1572.28,14653505.89,2020-06-24 19:00:00
147,1593028800,9299.72,9321.97,9283.69,9299.0,1208.56,11246749.05,2020-06-24 20:00:00
148,1593032400,9273.5,9306.42,9233.35,9299.72,1992.08,18463403.4,2020-06-24 21:00:00
149,1593036000,9297.79,9297.91,9262.07,9273.5,1233.36,11448451.72,2020-06-24 22:00:00
150,1593039600,9296.49,9328.46,9277.1,9297.79,1943.0,18073773.67,2020-06-24 23:00:00
